"Symbol: ZCY00",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-12-07,623.75,623.75,623.75,623.75,4,,
2022-12-08,625,625,625,625,1.25,,
2022-12-09,626.5,626.5,626.5,626.5,1.5,,
2022-12-12,636.5,636.5,636.5,636.5,10,,
2022-12-13,651,651,651,651,14.5,,
2022-12-14,648,648,648,648,-3,,
2022-12-15,651,651,651,651,3,,
2022-12-16,655.5,655.5,655.5,655.5,4.5,,
2022-12-19,649.75,649.75,649.75,649.75,-5.75,,
2022-12-20,654.5,654.5,654.5,654.5,4.75,,
2022-12-21,664.75,664.75,664.75,664.75,10.25,,
2022-12-22,663,663,663,663,-1.75,,
2022-12-23,668.75,668.75,668.75,668.75,5.75,,
2022-12-27,677.25,677.25,677.25,677.25,8.5,,
