Time,Open,High,Low,Last,Change,%Chg,Volume
"06/27/2023 22:30",559.75,561.5,559.5,561.25,1.75,+0.31%,355
"06/27/2023 22:00",560.5,561.25,559.5,559.5,-1,-0.18%,330
"06/27/2023 21:30",558.25,561.5,558.25,560.5,2.25,+0.40%,766
"06/27/2023 21:00",558.5,558.5,558,558.25,-0.25,-0.04%,261
"06/27/2023 20:30",558.25,558.5,557.25,558.5,0.25,+0.04%,551
"06/27/2023 20:00",560.25,560.25,558,558.25,-2,-0.36%,537
"06/27/2023 19:30",559.5,560.75,558.75,560.25,0.75,+0.13%,405
"06/27/2023 19:00",562,562.25,557.75,559.5,-1,-0.18%,2910
"06/27/2023 13:00",565,565,559.5,560.5,-4.25,-0.75%,11915
"06/27/2023 12:30",562.75,566,562.5,564.75,2,+0.36%,8973
"06/27/2023 12:00",559.5,563,559.25,562.75,3.5,+0.63%,9837
"06/27/2023 11:30",557.75,560.5,555,559.25,1.75,+0.31%,12062
"06/27/2023 11:00",559.75,561.25,556.5,557.5,-2.25,-0.40%,8071
"06/27/2023 10:30",560.75,562.5,558.5,559.75,-1,-0.18%,7160
"06/27/2023 10:00",559.75,563.25,558.75,560.75,1.25,+0.22%,8539
"06/27/2023 09:30",565,565.25,559.5,559.5,-5.75,-1.02%,9721
"06/27/2023 09:00",562.5,566,561.5,565.25,2.75,+0.49%,11625
"06/27/2023 08:30",566,569,558.5,562.5,-3.25,-0.57%,30912
"06/27/2023 07:30",567.5,568,565.5,565.75,-1.75,-0.31%,2086
"06/27/2023 07:00",567.75,570,567.25,567.5,-0.5,-0.09%,4875
"06/27/2023 06:30",567.5,568.5,564.25,568,0.5,+0.09%,6457
"06/27/2023 06:00",575.75,576,567.25,567.5,-8.25,-1.43%,5185
"06/27/2023 05:30",575.25,576,573.75,575.75,0.5,+0.09%,718
"06/27/2023 05:00",574,575.5,573.5,575.25,1.25,+0.22%,711
"06/27/2023 04:30",573.25,576.25,572.75,574,0.75,+0.13%,2164
"06/27/2023 04:00",575,575.25,572.5,573.25,-2,-0.35%,3094
"06/27/2023 03:30",578.25,578.5,575.25,575.25,-3.25,-0.56%,2156
"06/27/2023 03:00",577.75,579,576.5,578.5,0.75,+0.13%,1138
"06/27/2023 02:30",578.5,579.5,577,577.75,-0.75,-0.13%,1509
"06/27/2023 02:00",583,583,578.5,578.5,-4.5,-0.77%,2785
"06/27/2023 01:30",585.25,585.5,582.75,583,-2.25,-0.38%,882
"06/27/2023 01:00",586,587.75,585,585.25,-0.75,-0.13%,521
"06/27/2023 00:30",583.75,586.5,583.75,586,2.25,+0.39%,462
"06/27/2023 00:00",585.5,585.5,583.5,583.75,-2,-0.34%,972
"06/26/2023 23:30",587.25,588.5,585.75,585.75,-1.5,-0.26%,1149
"06/26/2023 23:00",587.75,588.25,587,587.25,-0.5,-0.09%,180
"06/26/2023 22:30",587.75,589,587.5,587.75,-0.25,-0.04%,562
"06/26/2023 22:00",586.5,588,586.5,588,1.75,+0.30%,608
"06/26/2023 21:30",585.75,586.25,584.5,586.25,0.5,+0.09%,656
"06/26/2023 21:00",586.75,587,584.5,585.75,-0.75,-0.13%,414
"06/26/2023 20:30",585.5,587,585.25,586.5,1.25,+0.21%,793
